Miesiąc,Game of Thrones: (Cały świat)
2011-01,1
2011-02,0
2011-03,1
2011-04,6
2011-05,10
2011-06,15
2011-07,8
2011-08,6
2011-09,6
2011-10,5
2011-11,5
2011-12,5
2012-01,6
2012-02,5
2012-03,9
2012-04,24
2012-05,23
2012-06,20
2012-07,11
2012-08,8
2012-09,8
2012-10,6
2012-11,6
2012-12,7
2013-01,8
2013-02,9
2013-03,16
2013-04,32
2013-05,28
2013-06,37
2013-07,15
2013-08,12
2013-09,10
2013-10,9
2013-11,9
2013-12,10
2014-01,13
2014-02,14
2014-03,16
2014-04,53
2014-05,42
2014-06,49
2014-07,20
2014-08,14
2014-09,11
2014-10,10
2014-11,10
2014-12,12
2015-01,14
2015-02,14
2015-03,15
2015-04,44
2015-05,37
2015-06,52
2015-07,19
2015-08,14
2015-09,12
2015-10,10
2015-11,10
2015-12,12
2016-01,11
2016-02,12
2016-03,14
2016-04,38
2016-05,59
2016-06,66
2016-07,27
2016-08,14
2016-09,11
2016-10,10
2016-11,10
2016-12,11
2017-01,12
2017-02,11
2017-03,11
2017-04,12
2017-05,12
2017-06,16
2017-07,63
2017-08,100
2017-09,28
2017-10,14
2017-11,10
2017-12,12
2018-01,11
2018-02,9
2018-03,8
2018-04,8
2018-05,8
2018-06,9
2018-07,9
2018-08,9
2018-09,8
2018-10,8
2018-11,9
2018-12,10
2019-01,14
2019-02,13
2019-03,21
2019-04,46
